Capacitors for net /TOP
            Net Name      Sum C 
                /VSS     173.1f 
              /B(13)     64.53f 
              /B(12)     32.15f 
              /B(11)      16.5f 
              /B(10)     8.392f 
               /B(9)     4.014f 
               /B(8)      1.99f 
               /B(7)     990.7a 
            /TOP_LSB       690a 
